backend,ranks_str,seq_len,batch_size,max_rank_int,sum_rank_int,num_unique,median_ms,mean_ms,std_ms,bs_x_max_rank,sum_rank,tok_x_max_rank,tok_x_sum_rank,bs,max_rank,min_rank,mean_rank,total_tokens,var_rank,std_rank,rank_ratio,max_minus_min,bs_x_sum_rank,bs_x_mean_rank,bs_x_min_rank,sum_x_max_rank,tok_x_mean_rank,sqrt_bs_x_max_rank,sqrt_sum_rank,log1p_bs_x_max_rank,log1p_sum_rank,sum_rank_sq,max_rank_sq
triton,"[8, 8, 64, 64, 64, 64, 64, 64]",1.0,8,64,400,2,18.47868824005127,18.865480003356932,1.1833539273892921,512.0,400.0,512.0,400.0,8.0,64.0,8.0,50.0,8.0,588.0,24.24871130596428,8.0,56.0,3200.0,400.0,64.0,25600.0,400.0,22.627416997969522,20.0,6.240275845170769,5.993961427306569,160000.0,4096.0
triton,"[8, 8, 8, 8, 8, 8, 64, 64]",1.0,8,64,176,2,18.156031608581543,18.615942935943604,1.2426509061513744,512.0,176.0,512.0,176.0,8.0,64.0,8.0,22.0,8.0,588.0,24.24871130596428,8.0,56.0,1408.0,176.0,64.0,11264.0,176.0,22.627416997969522,13.2664991614216,6.240275845170769,5.176149732573829,30976.0,4096.0
triton,"[16, 16, 16, 16, 32, 32, 32, 32]",1.0,8,32,192,2,17.563136100769043,17.900185527801515,1.0951451291358267,256.0,192.0,256.0,192.0,8.0,32.0,16.0,24.0,8.0,64.0,8.0,2.0,16.0,1536.0,192.0,128.0,6144.0,192.0,16.0,13.856406460551018,5.54907608489522,5.262690188904886,36864.0,1024.0
triton,"[16, 16, 32, 32, 32, 32, 32, 32]",1.0,8,32,224,2,17.65120029449463,18.4811399269104,1.7717573635169088,256.0,224.0,256.0,224.0,8.0,32.0,16.0,28.0,8.0,48.0,6.928203230275509,2.0,16.0,1792.0,224.0,128.0,7168.0,224.0,16.0,14.966629547095765,5.54907608489522,5.41610040220442,50176.0,1024.0
triton,"[16, 16, 16, 16, 16, 16, 32, 32]",1.0,8,32,160,2,17.674752235412598,18.545123558044434,1.7833473868893441,256.0,160.0,256.0,160.0,8.0,32.0,16.0,20.0,8.0,48.0,6.928203230275509,2.0,16.0,1280.0,160.0,128.0,5120.0,160.0,16.0,12.649110640673518,5.54907608489522,5.081404364984463,25600.0,1024.0
triton,"[16, 16, 16, 16, 64, 64, 64, 64]",1.0,8,64,320,2,18.26150417327881,19.226606712341308,1.707756320724146,512.0,320.0,512.0,320.0,8.0,64.0,16.0,40.0,8.0,576.0,24.0,4.0,48.0,2560.0,320.0,128.0,20480.0,320.0,22.627416997969522,17.88854381999832,6.240275845170769,5.771441123130016,102400.0,4096.0
triton,"[16, 16, 64, 64, 64, 64, 64, 64]",1.0,8,64,416,2,18.351792335510254,18.41792188644409,0.31612170903915676,512.0,416.0,512.0,416.0,8.0,64.0,16.0,52.0,8.0,432.0,20.784609690826528,4.0,48.0,3328.0,416.0,128.0,26624.0,416.0,22.627416997969522,20.396078054371138,6.240275845170769,6.0330862217988015,173056.0,4096.0
triton,"[16, 16, 16, 16, 16, 16, 64, 64]",1.0,8,64,224,2,18.160128593444824,18.376798820495605,0.9738250886526356,512.0,224.0,512.0,224.0,8.0,64.0,16.0,28.0,8.0,432.0,20.784609690826528,4.0,48.0,1792.0,224.0,128.0,14336.0,224.0,22.627416997969522,14.966629547095765,6.240275845170769,5.41610040220442,50176.0,4096.0
triton,"[32, 32, 32, 32, 64, 64, 64, 64]",1.0,8,64,384,2,18.499695777893066,19.276777591705322,1.560115663346784,512.0,384.0,512.0,384.0,8.0,64.0,32.0,48.0,8.0,256.0,16.0,2.0,32.0,3072.0,384.0,256.0,24576.0,384.0,22.627416997969522,19.595917942265423,6.240275845170769,5.953243334287785,147456.0,4096.0
triton,"[32, 32, 64, 64, 64, 64, 64, 64]",1.0,8,64,448,2,18.644479751586914,19.60665283203125,1.6527956288403536,512.0,448.0,512.0,448.0,8.0,64.0,32.0,56.0,8.0,192.0,13.856406460551018,2.0,32.0,3584.0,448.0,256.0,28672.0,448.0,22.627416997969522,21.166010488516726,6.240275845170769,6.1070228877422545,200704.0,4096.0
triton,"[32, 32, 32, 32, 32, 32, 64, 64]",1.0,8,64,320,2,18.41663932800293,19.51205207824707,1.7901240635600268,512.0,320.0,512.0,320.0,8.0,64.0,32.0,40.0,8.0,192.0,13.856406460551018,2.0,32.0,2560.0,320.0,256.0,20480.0,320.0,22.627416997969522,17.88854381999832,6.240275845170769,5.771441123130016,102400.0,4096.0
triton,"[8, 8, 8, 8, 8, 8, 8, 8, 16, 16, 16, 16, 16, 16, 16, 16]",1.0,16,16,192,2,17.89344024658203,18.57246629714966,1.5861122945487418,256.0,192.0,256.0,192.0,16.0,16.0,8.0,12.0,16.0,16.0,4.0,2.0,8.0,3072.0,192.0,128.0,3072.0,192.0,16.0,13.856406460551018,5.54907608489522,5.262690188904886,36864.0,256.0
triton,"[8, 8, 8, 8, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16]",1.0,16,16,224,2,17.935359954833984,19.102857913970947,1.9425900149064013,256.0,224.0,256.0,224.0,16.0,16.0,8.0,14.0,16.0,12.0,3.4641016151377544,2.0,8.0,3584.0,224.0,128.0,3584.0,224.0,16.0,14.966629547095765,5.54907608489522,5.41610040220442,50176.0,256.0
triton,"[8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 16, 16, 16, 16]",1.0,16,16,160,2,17.902079582214355,18.63583963394165,1.628780360234116,256.0,160.0,256.0,160.0,16.0,16.0,8.0,10.0,16.0,12.0,3.4641016151377544,2.0,8.0,2560.0,160.0,128.0,2560.0,160.0,16.0,12.649110640673518,5.54907608489522,5.081404364984463,25600.0,256.0
triton,"[8, 8, 8, 8, 8, 8, 8, 8, 32, 32, 32, 32, 32, 32, 32, 32]",1.0,16,32,320,2,19.37006378173828,20.23700538635254,2.10650753426341,512.0,320.0,512.0,320.0,16.0,32.0,8.0,20.0,16.0,144.0,12.0,4.0,24.0,5120.0,320.0,128.0,10240.0,320.0,22.627416997969522,17.88854381999832,6.240275845170769,5.771441123130016,102400.0,1024.0
